"arc_length","u","v","p"
0.497,-0.198001,0.0611853,-0.0531568
0.498,-0.197868,0.0603539,-0.053374
0.499,-0.197735,0.0595224,-0.0535912
0.5,-0.197602,0.058691,-0.0538084
0.501,-0.197294,0.0577452,-0.0539825
0.502,-0.196986,0.0567995,-0.0541566
0.503,-0.196678,0.0558537,-0.0543307
0.504,-0.19637,0.054908,-0.0545048
0.505,-0.196061,0.0539622,-0.0546789
0.506,-0.195753,0.0530165,-0.054853
0.507,-0.195445,0.0520707,-0.0550272
0.508,-0.195137,0.0511249,-0.0552013
0.509,-0.194829,0.0501792,-0.0553754
0.51,-0.194521,0.0492335,-0.0555495
0.511,-0.194213,0.0482877,-0.0557236
0.512,-0.193905,0.0473419,-0.0558977
0.513,-0.193597,0.0463962,-0.0560718
0.514,-0.193289,0.0454504,-0.0562459
0.515,-0.192981,0.0445047,-0.0564201
0.516,-0.192673,0.043559,-0.0565942
0.517,-0.192364,0.0426132,-0.0567683
0.518,-0.192056,0.0416674,-0.0569424
0.519,-0.191748,0.0407217,-0.0571165
0.52,-0.19144,0.039776,-0.0572906
0.521,-0.191132,0.0388302,-0.0574647
0.522,-0.190824,0.0378844,-0.0576388
0.523,-0.190516,0.0369387,-0.057813
0.524,-0.190208,0.0359929,-0.0579871
0.525,-0.1899,0.0350472,-0.0581612
0.526,-0.189592,0.0341014,-0.0583353
0.527,-0.189284,0.0331557,-0.0585094
0.528,-0.188975,0.0322099,-0.0586835
0.529,-0.188667,0.0312642,-0.0588576
0.53,-0.188359,0.0303184,-0.0590317
0.531,-0.188051,0.0293726,-0.0592059
0.532,-0.187606,0.0283468,-0.0593264
0.533,-0.187116,0.0272943,-0.0594291
0.534,-0.186625,0.0262418,-0.0595318
0.535,-0.186135,0.0251892,-0.0596345
0.536,-0.185644,0.0241367,-0.0597372
0.537,-0.185154,0.0230841,-0.0598399
0.538,-0.184663,0.0220316,-0.0599426
0.539,-0.184172,0.0209791,-0.0600453
0.54,-0.183682,0.0199265,-0.060148
0.541,-0.183191,0.018874,-0.0602507
0.542,-0.182701,0.0178215,-0.0603534
0.543,-0.18221,0.0167689,-0.0604561
0.544,-0.18172,0.0157164,-0.0605588
0.545,-0.181229,0.0146638,-0.0606615
0.546,-0.180739,0.0136113,-0.0607642
0.547,-0.180248,0.0125588,-0.0608669
0.548,-0.179757,0.0115063,-0.0609696
0.549,-0.179267,0.0104537,-0.0610723
0.55,-0.178776,0.00940116,-0.061175
0.551,-0.178286,0.00834864,-0.0612777
0.552,-0.177795,0.00729612,-0.0613804
0.553,-0.177305,0.00624359,-0.0614831
0.554,-0.176814,0.00519101,-0.0615858
0.555,-0.176324,0.00413849,-0.0616885
0.556,-0.175833,0.00308597,-0.0617912
0.557,-0.175343,0.00203344,-0.0618939
0.558,-0.174852,0.000980858,-0.0619966
0.559,-0.174361,-7.16638e-05,-0.0620993
0.56,-0.173871,-0.00112419,-0.062202
0.561,-0.17338,-0.00217671,-0.0623047
0.562,-0.17289,-0.00322923,-0.0624074
0.563,-0.172309,-0.00432761,-0.0624591
0.564,-0.171638,-0.00547173,-0.0624599
0.565,-0.170967,-0.00661585,-0.0624607
0.566,-0.170297,-0.00775996,-0.0624614
0.567,-0.169626,-0.00890408,-0.0624622
0.568,-0.168955,-0.0100483,-0.062463
0.569,-0.168284,-0.0111924,-0.0624637
0.57,-0.167613,-0.0123365,-0.0624645
0.571,-0.166943,-0.0134806,-0.0624653
0.572,-0.166272,-0.0146248,-0.062466
0.573,-0.165601,-0.0157689,-0.0624668
0.574,-0.16493,-0.016913,-0.0624676
0.575,-0.164259,-0.0180571,-0.0624684
0.576,-0.163589,-0.0192013,-0.0624691
0.577,-0.162918,-0.0203454,-0.0624699
0.578,-0.162247,-0.0214896,-0.0624707
0.579,-0.161576,-0.0226337,-0.0624714
0.58,-0.160905,-0.0237778,-0.0624722
0.581,-0.160235,-0.0249219,-0.062473
0.582,-0.159564,-0.0260661,-0.0624737
0.583,-0.158893,-0.0272102,-0.0624745
0.584,-0.158222,-0.0283543,-0.0624753
0.585,-0.157551,-0.0294984,-0.062476
0.586,-0.15688,-0.0306426,-0.0624768
0.587,-0.15621,-0.0317867,-0.0624776
0.588,-0.155539,-0.0329308,-0.0624783
0.589,-0.154868,-0.034075,-0.0624791
0.59,-0.154197,-0.0352191,-0.0624799
0.591,-0.153526,-0.0363633,-0.0624806
0.592,-0.152856,-0.0375074,-0.0624814
0.593,-0.152185,-0.0386515,-0.0624822
0.594,-0.151472,-0.039812,-0.0624493
0.595,-0.150632,-0.0410219,-0.0623155
0.596,-0.149792,-0.0422317,-0.0621818
0.597,-0.148952,-0.0434416,-0.062048
0.598,-0.148112,-0.0446514,-0.0619143
0.599,-0.147272,-0.0458612,-0.0617805
0.6,-0.146431,-0.0470711,-0.0616467
0.601,-0.145591,-0.0482809,-0.061513
0.602,-0.144751,-0.0494907,-0.0613792
0.603,-0.143911,-0.0507006,-0.0612454
0.604,-0.143071,-0.0519104,-0.0611117
0.605,-0.142231,-0.0531203,-0.0609779
0.606,-0.141391,-0.0543301,-0.0608441
0.607,-0.140551,-0.0555399,-0.0607104
0.608,-0.139711,-0.0567497,-0.0605766
0.609,-0.138871,-0.0579596,-0.0604428
0.61,-0.138031,-0.0591694,-0.060309
0.611,-0.137191,-0.0603793,-0.0601753
0.612,-0.136351,-0.0615891,-0.0600415
0.613,-0.135511,-0.0627989,-0.0599078
0.614,-0.134671,-0.0640088,-0.059774
0.615,-0.133831,-0.0652186,-0.0596402
0.616,-0.132991,-0.0664284,-0.0595065
0.617,-0.132151,-0.0676383,-0.0593727
0.618,-0.131311,-0.0688481,-0.0592389
